name,id,instance_name,source_name,guild_note,prio_note,officer_note,tier,tier_label,created_at,updated_at
"Apocalypse's Advance",54578,"Ruby Sanctum H25",Halion,,,,,,,
"Bracers of Fiery Night",54582,"Ruby Sanctum H25",Halion,,,,,,,
"Charred Twilight Scale",54588,"Ruby Sanctum H25",Halion,,,,,,,
"Cloak of Burning Dusk",54583,"Ruby Sanctum H25",Halion,,,,,,,
"Foreshadow Steps",54586,"Ruby Sanctum H25",Halion,,,,,,,
"Glowing Twilight Scale",54589,"Ruby Sanctum H25",Halion,,,,,,,
"Penumbra Pendant",54581,"Ruby Sanctum H25",Halion,,,,,,,
"Petrified Twilight Scale",54591,"Ruby Sanctum H25",Halion,,,,,,,
"Phaseshifter's Bracers",54584,"Ruby Sanctum H25",Halion,,,,,,,
"Returning Footfalls",54577,"Ruby Sanctum H25",Halion,,,,,,,
"Ring of Phased Regeneration",54585,"Ruby Sanctum H25",Halion,,,,,,,
"Sharpened Twilight Scale",54590,"Ruby Sanctum H25",Halion,,,,,,,
"Signet of Twilight",54576,"Ruby Sanctum H25",Halion,,,,,,,
"Split Shape Belt",54587,"Ruby Sanctum H25",Halion,,,,,,,
"Treads of Impending Resurrection",54579,"Ruby Sanctum H25",Halion,,,,,,,
"Umbrage Armbands",54580,"Ruby Sanctum H25",Halion,,,,,,,
"Abduction's Cover",54556,"Ruby Sanctum H10",Halion,,,,,,,
"Baltharus' Gift",54557,"Ruby Sanctum H10",Halion,,,,,,,
"Boots of Divided Being",54558,"Ruby Sanctum H10",Halion,,,,,,,
"Bracers of the Heir",54559,"Ruby Sanctum H10",Halion,,,,,,,
"Changeling Gloves",54560,"Ruby Sanctum H10",Halion,,,,,,,
"Gloaming Sark",54561,"Ruby Sanctum H10",Halion,,,,,,,
"Misbegotten Belt",54562,"Ruby Sanctum H10",Halion,,,,,,,
"Saviana's Tribute",54563,"Ruby Sanctum H10",Halion,,,,,,,
"Scion's Treads",54564,"Ruby Sanctum H10",Halion,,,,,,,
"Surrogate Belt",54565,"Ruby Sanctum H10",Halion,,,,,,,
"Twilight Scale Shoulders",54566,"Ruby Sanctum H10",Halion,,,,,,,
"Zarithrian's Offering",54567,"Ruby Sanctum H10",Halion,,,,,,,
"Apocalypse's Advance",53125,"Ruby Sanctum N25",Halion,,,,,,,
"Bracers of Fiery Night",53486,"Ruby Sanctum N25",Halion,,,,,,,
"Charred Twilight Scale",54572,"Ruby Sanctum N25",Halion,,,,,,,
"Cloak of Burning Dusk",53489,"Ruby Sanctum N25",Halion,,,,,,,
"Foreshadow Steps",53487,"Ruby Sanctum N25",Halion,,,,,,,
"Glowing Twilight Scale",54573,"Ruby Sanctum N25",Halion,,,,,,,
"Penumbra Pendant",53132,"Ruby Sanctum N25",Halion,,,,,,,
"Petrified Twilight Scale",54571,"Ruby Sanctum N25",Halion,,,,,,,
"Phaseshifter's Bracers",53134,"Ruby Sanctum N25",Halion,,,,,,,
"Returning Footfalls",53127,"Ruby Sanctum N25",Halion,,,,,,,
"Ring of Phased Regeneration",53490,"Ruby Sanctum N25",Halion,,,,,,,
"Sharpened Twilight Scale",54569,"Ruby Sanctum N25",Halion,,,,,,,
"Signet of Twilight",53133,"Ruby Sanctum N25",Halion,,,,,,,
"Split Shape Belt",53488,"Ruby Sanctum N25",Halion,,,,,,,
"Treads of Impending Resurrection",53129,"Ruby Sanctum N25",Halion,,,,,,,
"Umbrage Armbands",53126,"Ruby Sanctum N25",Halion,,,,,,,
"Abduction's Cover",53115,"Ruby Sanctum N10",Halion,,,,,,,
"Baltharus' Gift",53103,"Ruby Sanctum N10",Halion,,,,,,,
"Boots of Divided Being",53119,"Ruby Sanctum N10",Halion,,,,,,,
"Bracers of the Heir",53112,"Ruby Sanctum N10",Halion,,,,,,,
"Changeling Gloves",53117,"Ruby Sanctum N10",Halion,,,,,,,
"Gloaming Sark",53114,"Ruby Sanctum N10",Halion,,,,,,,
"Misbegotten Belt",53118,"Ruby Sanctum N10",Halion,,,,,,,
"Saviana's Tribute",53116,"Ruby Sanctum N10",Halion,,,,,,,
"Scion's Treads",53111,"Ruby Sanctum N10",Halion,,,,,,,
"Surrogate Belt",53121,"Ruby Sanctum N10",Halion,,,,,,,
"Twilight Scale Shoulders",53113,"Ruby Sanctum N10",Halion,,,,,,,
"Zarithrian's Offering",53110,"Ruby Sanctum N10",Halion,,,,,,,
"Ahn'kahar Onyx Neckguard",50647,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Aldriana's Gloves of Secrecy",50675,"Icecrown Citadel H25",Rotface,,,,,,,
"Althor's Abacus",50366,"Icecrown Citadel H25",Gunship,,,,,,,
"Amulet of the Silent Eulogy",50658,"Icecrown Citadel H25",Gunship,,,,,,,
"Anub'ar Stalker's Gloves",50619,"Icecrown Citadel H25",Valithria,,,,,,,
"Archus, Greatstaff of Antonidas",50731,"Icecrown Citadel H25","Lich King",,,,,,,
"Astrylian's Sutured Cinch",50707,"Icecrown Citadel H25",Putricide,,,,,,,
"Band of the Bone Colossus",50604,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Bauble of True Blood",50726,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Belt of Broken Bones",50691,"Icecrown Citadel H25",Festergut,,,,,,,
"Belt of the Blood Nova",50671,"Icecrown Citadel H25",Saurfang,,,,,,,
"Belt of the Lonely Noble",50451,"Icecrown Citadel H25",Trash,,,,,,,
"Bile-Encrusted Medallion",50682,"Icecrown Citadel H25",Rotface,,,,,,,
"Black Bruise",50692,"Icecrown Citadel H25",Festergut,,,,,,,
"Blightborne Warplate",50681,"Icecrown Citadel H25",Rotface,,,,,,,
"Blood Queen's Crimson Choker",50724,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Blood-Soaked Saronite Stompers",50639,"Icecrown Citadel H25",Deathwhisper,,,,,,,
Bloodfall,50727,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Bloodsunder's Bracers",50687,"Icecrown Citadel H25",Rotface,,,,,,,
"Bloodsurge, Kel'Thuzad's Blade of Agony",50732,"Icecrown Citadel H25","Lich King",,,,,,,
"Bloodvenom Blade",50672,"Icecrown Citadel H25",Saurfang,,,,,,,
